,imdb_title_id,title,original_title,year,date_published,genre,duration,country,language,director,writer,production_company,actors,description,avg_vote,votes,budget,usa_gross_income,worlwide_gross_income,metascore,reviews_from_users,reviews_from_critics,Year
21483,tt0087544,Nausicaä della valle del vento,Kaze no tani no Naushika,1984,2015-10-05,"Animation, Adventure, Fantasy",117,Japan,Japanese,Hayao Miyazaki,"Hayao Miyazaki, Hayao Miyazaki",Nibariki,"Sumi Shimamoto, Mahito Tsujimura, Hisako Kyôda, Gorô Naya, Ichirô Nagai, Kôhei Miyauchi, Jôji Yanami, Minoru Yada, Rihoko Yoshida, Masako Sugaya, Takako Sasuga, Chika Sakamoto, Tarako, Yôji Matsuda, Mîna Tominaga",Warrior and pacifist Princess Nausicaä desperately struggles to prevent two warring nations from destroying themselves and their dying planet.,8.1,144986,$ 1000000,$ 495770,$ 8734155,86.0,240.0,129.0,2015
23965,tt0095327,Una tomba per le lucciole,Hotaru no haka,1988,2015-11-10,"Animation, Drama, War",89,Japan,Japanese,Isao Takahata,"Akiyuki Nosaka, Isao Takahata",Shinchosha Company,"Tsutomu Tatsumi, Ayano Shiraishi, Yoshiko Shinohara, Akemi Yamaguchi, Tadashi Nakamura, Marcy Bannor, Shelley Calene-Black, Luci Christian, Shannon Conley, Justin Doran, Crispin Freeman, Adam Gibbs, Dan Green, Amy Jones, Susan O. Koozin",A young boy and his little sister struggle to survive in Japan during World War II.,8.5,225438,$ 3700000,$ 516962,$ 516962,94.0,738.0,128.0,2015
25476,tt0100271,Nostos: Il ritorno,Nostos: Il ritorno,1989,2015-09-08,"Adventure, History",85,Italy,"Greek, Ancient (to 1453)",Franco Piavoli,Franco Piavoli,Cooperativa Immaginazione,"Luigi Mezzanotte, Branca de Camargo, Alex Carozzo, Paola Agosti, Giuseppe Marcoli, Mariella Fabbris, Lucilla Giagnoni","At the end of the war, Odysseus, the wandering hero, with his companions begins his sail back home to the Mediterranean. The conclusion of his adventure is delayed by many natural obstacles...",7.7,323,,,,,3.0,3.0,2015
27875,tt0109227,Beanstalk,Beanstalk,1994,2015-08-01,"Comedy, Family, Fantasy",78,USA,English,Michael Davis,Michael Davis,Full Moon Entertainment,"J.D. Daniels, Amy Stoch, Patrick Renna, Richard Moll, Richard Paul, Cathy McAuley, David Naughton, Dominique Adler, Cindy Sorenson, Stuart Pankin, Margot Kidder, Joe Witherell, Daniel O'Callaghan, Kurt Boesen, Eidan Hanzei","A young boy finds a crate of green beans. When they're planted, they grow a beanstalk to the clouds, where a castle of giants are habited.",4.5,317,,,,,3.0,6.0,2015
30309,tt0118214,Zarkorr! The Invader,Zarkorr! The Invader,1996,2015-07-04,Sci-Fi,80,USA,English,"Michael Deak, Aaron Osborne",Neal Marshall Stevens,Full Moon Entertainment,"Franklin A. Vallette, Don Yanan, Peter Looney, Dyer McHenry, Rhys Pugh, Torie Lynch, Stan Chambers, Elizabeth Anderson, Robert Craighead, Dileen Nesson, Deprise Grossman, Mary Ostow, Jim Glassman, Emmett Grennan, Mike Terner","An ""average"" postal worker is informed by a tiny alien hologram which looks like a teenage girl that he is the ""choosen one"" to destroy a giant reptile to save the Earth.",3.7,284,,,,,10.0,20.0,2015
35008,tt0181947,3 dev adam,3 dev adam,1973,2015-10-31,"Action, Crime, Sci-Fi",81,Turkey,Turkish,T. Fikret Uçak,Dogan Tamer,Renkli,"Aytekin Akkaya, Deniz Erkanat, Yavuz Selekman, Tevfik Sen, Dogan Tamer, Mine Sun, Altan Günbay, Ersun Kazançel, Hasan Ceylan, Osman Han, Aysen Taskin, Mahmut Gülay, Ali Ekdal, Niyazi Vanli, Alev Bora","Istanbul is being terrorized by a crime wave, and the police call in American superhero Captain America and Mexican wrestler Santo to put a stop to it.",4.2,613,,,,,14.0,49.0,2015
35613,tt0192766,A Wake in Providence,A Wake in Providence,1999,2015-05-12,Comedy,92,USA,English,Rosario Roveto Jr.,"Billy Van Zandt, Jane Milmore",Mister P. Productions,"Vincent Pagano, Victoria Rowell, Mike Pagano, Adrienne Barbeau, Lisa Raggio, Billy Van Zandt, John Mariano, Mark DeCarlo, Jane Milmore, Kaye Kingston, Louis Guss, Micole Mercurio, Sam Coppola, Magda Harout, John Capodice","When Anthony's African-American girlfriend Alissa meets his Italian-American family at his grandfather's funeral, confrontations, confessions, and a hilarious race to the altar ensue!",5.6,199,,$ 403069,$ 403069,46.0,17.0,4.0,2015
38038,tt0246135,"Out 1, noli me tangere","Out 1, noli me tangere",1971,2015-11-18,"Drama, Mystery",729,France,"French, English","Jacques Rivette, Suzanne Schiffman",,Sunchild Productions,"Michèle Moretti, Hermine Karagheuz, Karen Puig, Pierre Baillot, Marcel Bozonnet, Jean-Pierre Léaud, Michael Lonsdale, Sylvain Corthay, Bernadette Onfroy, Edwine Moatti, Monique Clément, Juliet Berto, Gérard Martin, Gilette Barbier, Jean-Pierre Bastid","Following the May 1968 civil unrest in France, a deaf-mute and a con artist simultaneously stumble upon the remnants of a secret society.",7.8,1126,,$ 31539,$ 37743,87.0,13.0,30.0,2015
40034,tt0282560,Hinter den sieben Gleisen,Hinter den sieben Gleisen,1959,2015-08-06,"Comedy, Drama, Romance",103,Switzerland,Swiss German,Kurt Früh,"Kurt Früh, Hans Hausmann",,"Max Haufler, Ursula Heyer, Hannes Schmidhauser, Fred Tanner, Alain Burgat, Ella Büchi, Zarli Carigiet, Ettore Cella, Heidy Forster, Helmut Förnbacher, Walburga Gmür, Hans Grimm, Erika Gröbli, Ruth Gutzwiller, Marianne Hediger","They live behind the rails of the classification yard in a small and shabby hut. They take the days as they come, refuse to work on principle and pinch together their livelihood. The three ...",6.7,144,,,,,2.0,2.0,2015
42558,tt0337926,Chatô: O Rei do Brasil,Chatô: O Rei do Brasil,2015,2015-11-19,"Biography, Drama",102,Brazil,Portuguese,Guilherme Fontes,"João Emanuel Carneiro, Guilherme Fontes",Estudios Quanta,"Marco Ricca, Andrea Beltrão, Paulo Betti, Letícia Sabatella, Leandra Leal, Gabriel Braga Nunes, Eliane Giardini, Zezé Polessa, Marcos Oliveira, Ricardo Blat, Tião D'Ávila, José Lewgoy, Luís Antônio Pilar, Nathália França, Lutz Dobbertin","The film tells the facts of life of the mogul of communications, Assis Chateaubriand (Marco Ricca), one of those responsible for bringing TV to Brazil. The screenplay based on the ...",6.0,634,,,,,3.0,3.0,2015
